Team, pld, won, lost, tied, nrr, pts
Mumbai Indians, 14, 10, 4, 0, +0.784, 20
Rising Pune Supergiant, 14, 9, 5, 0, +0.176, 18
Sunrisers Hyderabad, 14, 8, 5, 0, +0.599, 17
Kolkata Knight Riders, 14, 8, 6, 0, +0.641, 16
Kings XI Punjab, 14, 7, 7, 0, -0.009, 14
Delhi Capitals, 14, 7, 7, 0, -0.512, 12
Gujarat Lions, 14, 5, 9, 0, -0.412, 8
Royal Challengers Bangalore, 14, 4, 10, 0, -1.299, 7
