Team, pld, won, lost, tied, nrr, pts
Kings XI Punjab, 14, 11, 3, 0, +0.968, 22
Kolkata Knight Riders, 14, 9, 5, 0, +0.418, 18
Chennai Super Kings, 14, 9, 5, 0, +0.385, 18
Mumbai Indians, 14, 7, 7, 0, +0.095, 14
Rajasthan Royals, 14, 7, 7, 0, +0.060, 14
Sunrisers Hyderabad, 14, 6, 8, 0, -0.399, 12
Royal Challengers Bangalore, 14, 5, 9, 0, -0.428, 10
Delhi Capitals, 14, 2, 12, 0, -1.182, 4
