Team, pld, won, lost, tied, nrr, pts
Sunrisers Hyderabad, 14, 9, 5, 0, +0.284, 18
Chennai Super Kings, 14, 9, 5, 0, +0.253, 18
Kolkata Knight Riders, 14, 8, 6, 0, -0.070, 16
Rajasthan Royals, 14, 7, 7, 0, -0.250, 14
Mumbai Indians, 14, 6, 8, 0, +0.317, 12
Royal Challengers Bangalore, 14, 6, 8, 0, +0.129, 12
Kings XI Punjab, 14, 6, 6, 0, -0.502, 12
Delhi Capitals, 14, 5, 9, 0, -0.222, 10
