Team, pld, won, lost, tied, nrr, pts
Gujarat Lions, 14, 9, 5, 0, -0.374, 18
Royal Challengers Bangalore, 14, 8, 6, 0, +0.932, 16
Sunrisers Hyderabad, 14, 8, 6, 0, +0.245, 16
Kolkata Knight Riders, 14, 8, 6, 0, +0.106, 16
Mumbai Indians, 14, 7, 7, 0, -0.146, 14
Delhi Capitals, 14, 7, 7, 0, -0.155, 14
Rising Pune Supergiant, 14, 5, 9, 0, +0.015, 10
Kings XI Punjab, 14, 4, 10, 0, -0.646, 8
