Team, pld, won, lost, tied, nrr, pts
Royal Challengers Bangalore, 14, 9, 4, 0, +0.326, 19
Chennai Super Kings, 14, 9, 5, 0, +0.443, 18
Mumbai Indians, 14, 9, 5, 0, +0.040, 18
Kolkata Knight Riders, 14, 8, 6, 0, +0.433, 16
Kings XI Punjab, 14, 7, 7, 0, -0.051, 14
Rajasthan Royals, 14, 6, 7, 0, -0.691, 13
Deccan Chargers, 14, 6, 8, 0, +0.222, 12
Kochi Tuskers Kerala, 14, 6, 8, 0, -0.214, 12
Pune Warriors India, 14, 4, 9, 0, -0.134, 9
Delhi Capitals, 14, 4, 9, 0, -0.448, 9
