Team, pld, won, lost, tied, nrr, pts
Chennai Super Kings, 14, 9, 5, 0, +0.709, 18
Mumbai Indians, 14, 8, 6, 0, -0.043, 16
Royal Challengers Bangalore, 14, 7, 5, 0, +1.037, 16
Rajasthan Royals, 14, 7, 5, 0, +0.062, 16
Kolkata Knight Riders, 14, 7, 6, 0, +0.253, 15
Sunrisers Hyderabad, 14, 7, 7, 0, -0.239, 14
Delhi Capitals, 14, 5, 8, 0, -0.049, 11
Delhi Capitals, 14, 3, 11, 0, -1.436, 6
