Team, pld, won, lost, tied, nrr, pts
Delhi Capitals, 16, 11, 5, 0, +0.617, 22
Kolkata Knight Riders, 16, 10, 5, 0, +0.561, 21
Mumbai Indians, 16, 10, 6, 0, -0.100, 20
Chennai Super Kings, 16, 8, 7, 0, +0.100, 17
Royal Challengers Bangalore, 16, 8, 7, 0, -0.022, 17
Kings XI Punjab, 16, 8, 8, 0, -0.216, 16
Rajasthan Royals, 16, 7, 9, 0, +0.201, 14
Deccan Chargers, 16, 4, 11, 0, -0.509, 9
Pune Warriors India, 16, 4, 12, 0, -0.551, 8
